image,populated,shottype
/e/elevator/door/00000001.jpg,5,5
/e/elevator/door/00000002.jpg,3,6
/e/elevator/door/00000009.jpg,5,5
/e/elevator/door/00000010.jpg,3,2
/e/elevator/door/00000014.jpg,3,0
/e/elevator/door/00000017.jpg,1,6
/e/elevator/door/00000018.jpg,3,3
/e/elevator/door/00000019.jpg,5,7
/e/elevator/door/00000020.jpg,3,5
/e/elevator/door/00000021.jpg,5,5
/e/elevator/door/00000022.jpg,1,9
/e/elevator/door/00000024.jpg,1,8
/e/elevator/door/00000031.jpg,3,5
/e/elevator/door/00000034.jpg,3,3
/e/elevator/door/00000035.jpg,1,8
/e/elevator/door/00000036.jpg,3,6
/e/elevator/door/00000037.jpg,1,7
/e/elevator/door/00000039.jpg,3,5
/e/elevator/door/00000042.jpg,5,5
/e/elevator/door/00000047.jpg,3,8
/e/elevator/door/00000049.jpg,3,6
/e/elevator/door/00000052.jpg,1,7
/e/elevator/door/00000053.jpg,5,3
/e/elevator/door/00000054.jpg,3,0
/e/elevator/door/00000058.jpg,3,4
/e/elevator/door/00000061.jpg,2,9
/e/elevator/door/00000062.jpg,3,6
/e/elevator/door/00000064.jpg,5,6
/e/elevator/door/00000065.jpg,5,4
/e/elevator/door/00000071.jpg,5,5
/e/elevator/door/00000074.jpg,2,9
/e/elevator/door/00000075.jpg,3,5
/e/elevator/door/00000076.jpg,3,0
/e/elevator/door/00000092.jpg,5,5
/e/elevator/door/00000093.jpg,5,5
/e/elevator/door/00000098.jpg,5,9
/e/elevator/door/00000102.jpg,5,4
/e/elevator/door/00000104.jpg,3,5
/e/elevator/door/00000107.jpg,5,5
/e/elevator/door/00000109.jpg,5,4
/e/elevator/door/00000110.jpg,3,5
/e/elevator/door/00000111.jpg,5,5
/e/elevator/door/00000115.jpg,3,0
/e/elevator/door/00000117.jpg,3,5
/e/elevator/door/00000121.jpg,3,5
/e/elevator/door/00000123.jpg,3,5
/e/elevator/door/00000126.jpg,3,5
/e/elevator/door/00000130.jpg,3,4
/e/elevator/door/00000133.jpg,3,5
/e/elevator/door/00000134.jpg,5,4
/e/elevator/door/00000136.jpg,5,6
/e/elevator/door/00000137.jpg,3,7
/e/elevator/door/00000141.jpg,3,6
/e/elevator/door/00000145.jpg,3,5
/e/elevator/door/00000147.jpg,3,5
/e/elevator/door/00000149.jpg,3,5
/e/elevator/door/00000152.jpg,3,8
/e/elevator/door/00000154.jpg,3,5
/e/elevator/door/00000155.jpg,3,6
/e/elevator/door/00000159.jpg,3,0
/e/elevator/door/00000165.jpg,3,6
/e/elevator/door/00000167.jpg,5,5
/e/elevator/door/00000172.jpg,3,7
/e/elevator/door/00000173.jpg,5,5
/e/elevator/door/00000176.jpg,3,2
/e/elevator/door/00000177.jpg,4,7
/e/elevator/door/00000181.jpg,3,6
/e/elevator/door/00000182.jpg,5,5
/e/elevator/door/00000183.jpg,5,5
/e/elevator/door/00000186.jpg,5,8
/e/elevator/door/00000189.jpg,3,0
/e/elevator/door/00000190.jpg,5,5
/e/elevator/door/00000192.jpg,3,6
/e/elevator/door/00000193.jpg,3,5
/e/elevator/door/00000195.jpg,1,8
/e/elevator/door/00000199.jpg,5,0
/e/elevator/door/00000200.jpg,3,5
/e/elevator/door/00000202.jpg,3,6
/e/elevator/door/00000205.jpg,5,6
/e/elevator/door/00000209.jpg,3,5
/e/elevator/door/00000213.jpg,5,6
/e/elevator/door/00000214.jpg,5,9
/e/elevator/door/00000217.jpg,5,5
/e/elevator/door/00000219.jpg,3,0
/e/elevator/door/00000223.jpg,5,8
/e/elevator/door/00000224.jpg,3,7
/e/elevator/door/00000225.jpg,3,2
/e/elevator/door/00000228.jpg,5,5
/e/elevator/door/00000229.jpg,5,7
/e/elevator/door/00000234.jpg,5,5
/e/elevator/door/00000241.jpg,3,5
/e/elevator/door/00000246.jpg,5,4
/e/elevator/door/00000250.jpg,3,3
/e/elevator/door/00000251.jpg,3,5
/e/elevator/door/00000252.jpg,3,0
/e/elevator/door/00000254.jpg,3,5
/e/elevator/door/00000259.jpg,1,9
/e/elevator/door/00000260.jpg,3,8
/e/elevator/door/00000261.jpg,3,0
/e/elevator/door/00000262.jpg,3,0
/e/elevator/door/00000263.jpg,2,0
/e/elevator/door/00000279.jpg,3,5
/e/elevator/door/00000282.jpg,3,5
/e/elevator/door/00000284.jpg,3,7
/e/elevator/door/00000287.jpg,3,8
/e/elevator/door/00000288.jpg,5,5
/e/elevator/door/00000294.jpg,3,5
/e/elevator/door/00000295.jpg,5,5
/e/elevator/door/00000296.jpg,3,5
