image,populated,shottype
/g/galley/00000008.jpg,2,0
/g/galley/00000012.jpg,4,6
/g/galley/00000013.jpg,1,9
/g/galley/00000016.jpg,2,9
/g/galley/00000023.jpg,5,6
/g/galley/00000025.jpg,2,0
/g/galley/00000026.jpg,1,7
/g/galley/00000034.jpg,4,9
/g/galley/00000035.jpg,3,5
/g/galley/00000039.jpg,1,9
/g/galley/00000044.jpg,5,5
/g/galley/00000045.jpg,5,7
/g/galley/00000049.jpg,3,5
/g/galley/00000050.jpg,5,5
/g/galley/00000052.jpg,3,4
/g/galley/00000053.jpg,5,5
/g/galley/00000056.jpg,3,5
/g/galley/00000057.jpg,1,0
/g/galley/00000062.jpg,3,9
/g/galley/00000070.jpg,5,6
/g/galley/00000071.jpg,4,6
/g/galley/00000077.jpg,1,9
/g/galley/00000083.jpg,4,0
/g/galley/00000085.jpg,3,9
/g/galley/00000086.jpg,3,5
/g/galley/00000094.jpg,1,8
/g/galley/00000100.jpg,3,0
/g/galley/00000103.jpg,3,6
/g/galley/00000104.jpg,3,9
/g/galley/00000109.jpg,5,6
/g/galley/00000116.jpg,3,5
/g/galley/00000121.jpg,3,5
/g/galley/00000126.jpg,3,6
/g/galley/00000129.jpg,1,9
/g/galley/00000146.jpg,5,5
/g/galley/00000150.jpg,4,9
/g/galley/00000154.jpg,1,8
/g/galley/00000158.jpg,3,6
/g/galley/00000169.jpg,3,0
/g/galley/00000175.jpg,3,6
/g/galley/00000176.jpg,2,9
/g/galley/00000177.jpg,5,5
/g/galley/00000181.jpg,3,0
/g/galley/00000186.jpg,3,6
/g/galley/00000187.jpg,4,9
/g/galley/00000192.jpg,5,5
/g/galley/00000196.jpg,5,5
/g/galley/00000210.jpg,5,6
/g/galley/00000213.jpg,3,5
/g/galley/00000219.jpg,4,8
/g/galley/00000223.jpg,5,5
/g/galley/00000227.jpg,3,5
/g/galley/00000229.jpg,4,6
/g/galley/00000237.jpg,3,5
/g/galley/00000249.jpg,5,5
/g/galley/00000254.jpg,2,9
/g/galley/00000260.jpg,3,0
/g/galley/00000264.jpg,3,8
/g/galley/00000265.jpg,3,4
/g/galley/00000266.jpg,5,6
/g/galley/00000270.jpg,3,6
/g/galley/00000273.jpg,1,0
/g/galley/00000274.jpg,1,9
/g/galley/00000275.jpg,1,9
/g/galley/00000276.jpg,3,6
/g/galley/00000279.jpg,3,8
/g/galley/00000280.jpg,1,9
/g/galley/00000285.jpg,2,9
/g/galley/00000288.jpg,5,5
/g/galley/00000294.jpg,5,5
/g/galley/00000298.jpg,1,8
/g/galley/00000303.jpg,3,6
/g/galley/00000304.jpg,3,5
/g/galley/00000306.jpg,2,0
/g/galley/00000310.jpg,3,5
/g/galley/00000321.jpg,4,9
/g/galley/00000335.jpg,3,6
/g/galley/00000336.jpg,3,3
/g/galley/00000339.jpg,3,8
/g/galley/00000341.jpg,5,5
/g/galley/00000346.jpg,1,9
/g/galley/00000348.jpg,3,6
/g/galley/00000353.jpg,4,9
/g/galley/00000360.jpg,5,2
/g/galley/00000364.jpg,5,8
/g/galley/00000366.jpg,5,5
/g/galley/00000382.jpg,1,8
/g/galley/00000383.jpg,2,0
/g/galley/00000387.jpg,1,9
/g/galley/00000391.jpg,2,9
/g/galley/00000396.jpg,3,5
/g/galley/00000399.jpg,3,5
/g/galley/00000403.jpg,3,5
/g/galley/00000404.jpg,1,9
/g/galley/00000414.jpg,1,8
/g/galley/00000416.jpg,1,9
/g/galley/00000417.jpg,1,0
/g/galley/00000424.jpg,1,8
/g/galley/00000426.jpg,3,5
/g/galley/00000430.jpg,5,5
/g/galley/00000448.jpg,3,5
/g/galley/00000449.jpg,3,5
/g/galley/00000450.jpg,3,5
/g/galley/00000453.jpg,5,5
/g/galley/00000454.jpg,3,5
/g/galley/00000464.jpg,5,5
/g/galley/00000469.jpg,3,5
/g/galley/00000473.jpg,1,7
/g/galley/00000475.jpg,1,9
/g/galley/00000481.jpg,5,6
/g/galley/00000498.jpg,4,9
/g/galley/00000504.jpg,3,8
/g/galley/00000511.jpg,2,9
/g/galley/00000514.jpg,3,7
/g/galley/00000517.jpg,1,0
/g/galley/00000519.jpg,3,6
/g/galley/00000521.jpg,3,2
/g_galley_00000521_ecu.jpg,999,1
/g/galley/00000524.jpg,4,5
/g/galley/00000525.jpg,3,5
/g/galley/00000529.jpg,3,8
