image,x,y,w,h
/g/galley/00000012.jpg,18,173,29,38
/g/galley/00000023.jpg,137,69,42,49
/g/galley/00000035.jpg,280,114,92,95
/g/galley/00000044.jpg,218,15,78,102
/g/galley/00000045.jpg,646,127,22,34
/g/galley/00000049.jpg,144,139,61,99
/g/galley/00000050.jpg,423,119,74,101
/g/galley/00000052.jpg,155,190,136,180
/g/galley/00000053.jpg,394,139,63,83
/g/galley/00000056.jpg,122,305,45,61
/g/galley/00000070.jpg,307,61,54,58
/g/galley/00000071.jpg,623,177,34,54
/g/galley/00000083.jpg,50,337,11,16
/g/galley/00000086.jpg,231,170,103,104
/g/galley/00000103.jpg,380,149,37,47
/g/galley/00000109.jpg,347,160,31,43
/g/galley/00000116.jpg,139,87,102,141
/g/galley/00000121.jpg,349,174,68,81
/g/galley/00000146.jpg,272,76,54,76
/g/galley/00000158.jpg,394,123,53,54
/g/galley/00000175.jpg,264,66,47,58
/g/galley/00000177.jpg,198,104,83,102
/g/galley/00000186.jpg,374,49,50,66
/g/galley/00000196.jpg,415,81,81,94
/g/galley/00000210.jpg,291,130,31,45
/g/galley/00000213.jpg,262,128,53,64
/g/galley/00000219.jpg,164,229,20,27
/g/galley/00000223.jpg,229,131,69,87
/g/galley/00000227.jpg,185,248,71,95
/g/galley/00000229.jpg,143,299,36,46
/g/galley/00000237.jpg,414,123,59,73
/g/galley/00000249.jpg,156,34,105,138
/g/galley/00000265.jpg,124,6,145,199
/g/galley/00000266.jpg,335,153,42,47
/g/galley/00000270.jpg,86,286,60,64
/g/galley/00000275.jpg,157,227,5,8
/g/galley/00000276.jpg,161,138,39,51
/g/galley/00000288.jpg,227,201,127,117
/g/galley/00000294.jpg,499,319,57,50
/g/galley/00000298.jpg,313,207,28,30
/g/galley/00000303.jpg,140,126,64,85
/g/galley/00000304.jpg,255,68,75,91
/g/galley/00000310.jpg,290,314,90,86
/g/galley/00000335.jpg,264,58,82,99
/g/galley/00000336.jpg,277,116,148,178
/g/galley/00000339.jpg,233,202,26,32
/g/galley/00000341.jpg,582,82,82,125
/g/galley/00000348.jpg,441,109,35,45
/g/galley/00000360.jpg,202,210,76,117
/g/galley/00000364.jpg,447,143,32,51
/g/galley/00000366.jpg,159,217,41,51
/g/galley/00000382.jpg,71,0,18,23
/g/galley/00000396.jpg,329,165,145,135
/g/galley/00000399.jpg,201,79,71,84
/g/galley/00000403.jpg,265,89,78,94
/g/galley/00000414.jpg,217,129,15,23
/g/galley/00000416.jpg,352,396,7,9
/g/galley/00000424.jpg,454,238,21,26
/g/galley/00000426.jpg,232,63,127,179
/g/galley/00000430.jpg,168,34,137,153
/g/galley/00000450.jpg,226,73,54,83
/g/galley/00000453.jpg,251,139,60,73
/g/galley/00000454.jpg,240,158,95,123
/g/galley/00000464.jpg,218,41,48,72
/g/galley/00000469.jpg,185,84,95,125
/g/galley/00000473.jpg,325,122,33,40
/g/galley/00000481.jpg,400,83,48,57
/g/galley/00000514.jpg,152,223,50,49
/g/galley/00000519.jpg,338,88,44,54
/g/galley/00000521.jpg,440,111,184,244
/g/galley/00000524.jpg,275,432,68,74
/g/galley/00000525.jpg,133,43,119,127
/g/galley/00000529.jpg,389,184,30,30
/g/galley/00000530.jpg,138,51,128,97
/g/galley/00000532.jpg,181,137,72,100
/g/galley/00000534.jpg,394,123,53,55
/g/galley/00000538.jpg,235,89,119,151
/g/galley/00000542.jpg,144,61,65,89
/g/galley/00000544.jpg,356,66,69,93
/g/galley/00000559.jpg,316,54,76,83
/g/galley/00000561.jpg,499,121,65,93
/g/galley/00000590.jpg,291,92,49,52
/g/galley/00000592.jpg,366,168,51,65
/g/galley/00000593.jpg,593,192,15,22
/g/galley/00000603.jpg,47,216,33,38
/g/galley/00000612.jpg,149,215,97,118
/g/galley/00000613.jpg,378,54,56,82
/g/galley/00000616.jpg,0,54,66,149
/g/galley/00000628.jpg,421,85,93,94
/g/galley/00000637.jpg,257,44,85,115
/g/galley/00000647.jpg,66,133,69,69
/g/galley/00000648.jpg,649,224,19,22
/g/galley/00000657.jpg,300,63,45,56
/g/galley/00000660.jpg,494,231,12,20
/g/galley/00000676.jpg,278,15,22,32
/g/galley/00000680.jpg,341,197,36,49
/g/galley/00000694.jpg,376,65,62,75
/g/galley/00000703.jpg,262,201,13,16
/g/galley/00000707.jpg,266,423,108,88
/g/galley/00000709.jpg,253,75,59,83
/g/galley/00000722.jpg,153,160,54,70
/g/galley/00000723.jpg,344,74,78,88
/g/galley/00000725.jpg,376,221,27,36
/g/galley/00000727.jpg,424,134,26,28
/g/galley/00000730.jpg,634,232,42,51
/g/galley/00000731.jpg,380,227,28,40
/g/galley/00000732.jpg,164,66,43,74
/g/galley/00000737.jpg,274,148,77,102
/g/galley/00000742.jpg,578,121,24,38
/g/galley/00000744.jpg,254,38,98,126
/g/galley/00000749.jpg,155,77,114,155
/g/galley/00000761.jpg,300,253,179,121
/g/galley/00000764.jpg,361,138,91,110
/g/galley/00000769.jpg,86,164,55,76
/g/galley/00000771.jpg,524,1,57,69
/g/galley/00000799.jpg,216,0,200,104
/g/galley/00000801.jpg,445,264,60,83
/g/galley/00000812.jpg,330,161,33,28
/g/galley/00000820.jpg,312,112,73,97
/g/galley/00000823.jpg,836,59,19,62
/g/galley/00000827.jpg,290,248,18,28
/g/galley/00000832.jpg,24,81,59,98
/g/galley/00000837.jpg,217,50,101,134
/g/galley/00000838.jpg,0,82,170,194
/g/galley/00000849.jpg,346,76,41,54
/g/galley/00000851.jpg,183,352,54,66
/g/galley/00000858.jpg,296,115,36,56
/g/galley/00000876.jpg,408,117,75,101
/g/galley/00000877.jpg,371,193,27,30
/g/galley/00000887.jpg,300,223,22,30
/g/galley/00000893.jpg,383,181,16,20
/g/galley/00000896.jpg,130,174,77,72
/g/galley/00000901.jpg,657,2,30,44
/g/galley/00000917.jpg,55,221,16,17
/g/galley/00000919.jpg,456,104,25,37
/g/galley/00000921.jpg,231,111,52,63
/g/galley/00000928.jpg,243,257,24,38
/g/galley/00000933.jpg,257,248,21,26
/g/galley/00000936.jpg,222,235,15,15
/g/galley/00000953.jpg,91,230,18,23
/g/galley/00000955.jpg,279,149,36,46
/g/galley/00000961.jpg,250,70,92,122
/g/galley/00000962.jpg,556,298,11,14
/g/galley/00000970.jpg,320,199,54,55
/g/galley/00000975.jpg,339,22,100,136
/g/galley/00000978.jpg,264,225,16,23
/g/galley/00000982.jpg,195,259,23,29
/g/galley/00000991.jpg,378,225,9,14
/g/galley/00000994.jpg,316,203,9,13
/g/galley/00000996.jpg,547,193,23,25
/g/galley/00001000.jpg,276,35,64,81
/g/galley/00001006.jpg,0,97,26,93
/g/galley/00001018.jpg,385,76,56,79
/g/galley/00001019.jpg,38,188,53,64
/g/galley/00001022.jpg,217,202,107,138
/g/galley/00001027.jpg,163,246,78,102
/g/galley/00001028.jpg,117,141,28,33
/g/galley/00001030.jpg,271,432,124,148
/g/galley/00001042.jpg,123,81,77,104
/g/galley/00001048.jpg,258,203,163,203
/g/galley/00001053.jpg,162,1,158,169
/g/galley/00001060.jpg,250,70,55,77
