image,x,y,w,h
/i/iceberg/00000026.jpg,26,287,11,14
/i/iceberg/00000029.jpg,381,219,26,31
/i/iceberg/00000033.jpg,489,379,8,9
/i/iceberg/00000047.jpg,397,379,19,32
/i/iceberg/00000050.jpg,467,240,18,15
/i/iceberg/00000061.jpg,547,257,10,11
/i/iceberg/00000113.jpg,205,183,51,62
/i/iceberg/00000157.jpg,181,287,6,9
/i/iceberg/00000182.jpg,180,61,22,38
/i/iceberg/00000183.jpg,124,219,50,61
/i/iceberg/00000185.jpg,474,41,40,47
/i/iceberg/00000206.jpg,198,205,75,95
/i/iceberg/00000223.jpg,168,395,30,29
/i/iceberg/00000250.jpg,632,268,41,48
/i/iceberg/00000285.jpg,95,114,30,39
/i/iceberg/00000289.jpg,637,278,25,41
/i/iceberg/00000299.jpg,12,331,68,112
/i/iceberg/00000330.jpg,485,300,91,116
/i/iceberg/00000332.jpg,512,226,13,18
/i/iceberg/00000349.jpg,313,392,67,104
/i/iceberg/00000363.jpg,587,232,9,11
/i/iceberg/00000380.jpg,77,339,6,7
/i/iceberg/00000387.jpg,347,343,29,39
/i/iceberg/00000432.jpg,598,373,11,14
/i/iceberg/00000437.jpg,335,392,8,10
/i/iceberg/00000453.jpg,612,460,53,47
/i/iceberg/00000459.jpg,180,253,19,22
/i/iceberg/00000463.jpg,419,413,18,24
/i/iceberg/00000476.jpg,248,119,46,51
/i/iceberg/00000483.jpg,159,330,76,95
/i/iceberg/00000525.jpg,41,353,73,90
/i/iceberg/00000530.jpg,149,215,27,36
/i/iceberg/00000532.jpg,557,208,14,16
/i/iceberg/00000538.jpg,319,171,13,17
/i/iceberg/00000540.jpg,342,218,32,43
/i/iceberg/00000541.jpg,274,68,35,49
/i/iceberg/00000553.jpg,467,322,4,5
/i/iceberg/00000559.jpg,198,125,37,50
/i/iceberg/00000587.jpg,162,354,11,12
/i/iceberg/00000593.jpg,399,267,3,4
/i/iceberg/00000608.jpg,510,186,46,79
/i/iceberg/00000616.jpg,36,366,7,9
/i/iceberg/00000618.jpg,88,167,77,98
/i/iceberg/00000625.jpg,413,234,12,16
/i/iceberg/00000635.jpg,332,117,63,85
/i/iceberg/00000652.jpg,756,331,10,13
/i/iceberg/00000661.jpg,241,128,31,25
/i/iceberg/00000668.jpg,409,170,244,267
/i/iceberg/00000728.jpg,408,222,28,34
/i/iceberg/00000745.jpg,176,297,27,38
/i/iceberg/00000750.jpg,355,192,27,29
/i/iceberg/00000756.jpg,349,281,29,43
/i/iceberg/00000757.jpg,390,106,31,38
/i/iceberg/00000766.jpg,115,201,36,39
/i/iceberg/00000778.jpg,467,84,33,43
/i/iceberg/00000790.jpg,318,175,7,8
/i/iceberg/00000791.jpg,212,309,68,85
/i/iceberg/00000843.jpg,236,360,7,9
/i/iceberg/00000869.jpg,647,348,9,11
/i/iceberg/00000912.jpg,187,171,68,87
/i/iceberg/00000935.jpg,361,216,21,26
/i/iceberg/00000947.jpg,313,44,41,69
/i/iceberg/00000953.jpg,250,388,7,10
/i/iceberg/00000978.jpg,228,407,57,64
/i/iceberg/00000982.jpg,395,428,18,28
/i/iceberg/00001013.jpg,270,248,27,32
/i/iceberg/00001019.jpg,553,296,11,9
/i/iceberg/00001046.jpg,462,147,11,14
/i/iceberg/00001059.jpg,235,22,38,44
/i/iceberg/00001060.jpg,507,209,28,36
/i/iceberg/00001062.jpg,228,393,14,19
/i/iceberg/00001069.jpg,195,736,12,14
/i/iceberg/00001095.jpg,141,115,67,117
/i/iceberg/00001110.jpg,553,0,178,127
/i/iceberg/00001114.jpg,93,410,4,6
/i/iceberg/00001121.jpg,348,225,22,29
/i/iceberg/00001122.jpg,325,306,6,7
/i/iceberg/00001126.jpg,140,542,4,5
/i/iceberg/00001137.jpg,495,290,16,21
/i/iceberg/00001138.jpg,550,173,16,18
/i/iceberg/00001143.jpg,315,241,42,51
/i/iceberg/00001166.jpg,431,259,5,7
/i/iceberg/00001170.jpg,412,36,3,4
/i/iceberg/00001177.jpg,332,159,60,61
/i/iceberg/00001181.jpg,702,166,4,5
/i/iceberg/00001186.jpg,313,205,118,147
/i/iceberg/00001204.jpg,501,218,73,98
/i/iceberg/00001213.jpg,213,403,8,11
/i/iceberg/00001215.jpg,431,149,131,123
/i/iceberg/00001222.jpg,224,292,25,30
/i/iceberg/00001226.jpg,405,204,47,63
/i/iceberg/00001243.jpg,173,236,14,15
/i/iceberg/00001271.jpg,419,64,134,178
/i/iceberg/00001273.jpg,270,172,74,112
/i/iceberg/00001287.jpg,84,182,34,54
/i/iceberg/00001307.jpg,422,312,14,17
/i/iceberg/00001315.jpg,478,169,70,105
/i/iceberg/00001324.jpg,175,676,6,8
/i/iceberg/00001328.jpg,297,158,124,167
/i/iceberg/00001335.jpg,355,290,65,82
/i/iceberg/00001338.jpg,0,641,40,40
/i/iceberg/00001351.jpg,717,123,52,68
/i/iceberg/00001355.jpg,455,186,7,8
/i/iceberg/00001402.jpg,533,138,47,66
/i/iceberg/00001431.jpg,500,220,95,123
/i/iceberg/00001447.jpg,555,433,8,8
/i/iceberg/00001449.jpg,352,196,48,59
/i/iceberg/00001452.jpg,381,205,14,15
/i/iceberg/00001457.jpg,79,168,110,143
/i/iceberg/00001460.jpg,95,61,156,151
/i/iceberg/00001465.jpg,543,71,58,84
/i/iceberg/00001491.jpg,122,337,21,24
/i/iceberg/00001537.jpg,365,290,7,8
/i/iceberg/00001538.jpg,355,575,7,9
/i/iceberg/00001581.jpg,39,45,100,122
/i/iceberg/00001582.jpg,603,368,3,4
/i/iceberg/00001597.jpg,526,387,30,37
/i/iceberg/00001637.jpg,225,272,38,47
/i/iceberg/00001640.jpg,352,224,9,12
/i/iceberg/00001658.jpg,220,320,30,40
/i/iceberg/00001694.jpg,263,164,26,33
/i/iceberg/00001703.jpg,130,93,56,72
/i/iceberg/00001743.jpg,131,151,111,149
/i/iceberg/00001757.jpg,165,126,23,30
/i/iceberg/00001761.jpg,82,277,7,9
/i/iceberg/00001804.jpg,483,184,60,72
/i/iceberg/00001809.jpg,133,299,14,24
/i/iceberg/00001819.jpg,133,301,257,343
/i/iceberg/00001835.jpg,165,121,79,99
/i/iceberg/00001852.jpg,424,357,6,7
/i/iceberg/00001853.jpg,725,290,8,9
/i/iceberg/00001912.jpg,246,367,55,73
/i/iceberg/00001917.jpg,24,307,55,80
/i/iceberg/00001920.jpg,363,216,42,23
/i/iceberg/00001926.jpg,211,293,58,79
/i/iceberg/00001928.jpg,602,226,23,31
/i/iceberg/00001978.jpg,422,286,11,14
/i/iceberg/00001995.jpg,337,183,21,31
/i/iceberg/00002005.jpg,235,261,9,11
/i/iceberg/00002035.jpg,171,230,202,270
/i/iceberg/00002048.jpg,371,211,64,79
/i/iceberg/00002063.jpg,11,289,15,19
/i/iceberg/00002067.jpg,7,321,42,47
/i/iceberg/00002071.jpg,278,215,10,13
/i/iceberg/00002072.jpg,301,373,26,39
/i/iceberg/00002080.jpg,437,36,60,76
/i/iceberg/00002093.jpg,146,268,5,6
/i/iceberg/00002101.jpg,650,273,15,18
/i/iceberg/00002106.jpg,97,391,16,19
/i/iceberg/00002112.jpg,624,251,23,27
/i/iceberg/00002134.jpg,192,290,102,130
/i/iceberg/00002147.jpg,570,274,9,13
/i/iceberg/00002193.jpg,170,211,29,32
/i/iceberg/00002197.jpg,393,327,31,33
/i/iceberg/00002227.jpg,892,90,18,32
/i/iceberg/00002234.jpg,479,89,78,89
/i/iceberg/00002246.jpg,256,293,38,30
/i/iceberg/00002260.jpg,389,303,14,19
/i/iceberg/00002261.jpg,358,160,13,16
/i/iceberg/00002263.jpg,537,150,5,7
/i/iceberg/00002274.jpg,331,184,37,53
/i/iceberg/00002292.jpg,402,435,54,61
/i/iceberg/00002299.jpg,376,359,8,10
/i/iceberg/00002330.jpg,475,102,30,35
/i/iceberg/00002336.jpg,254,623,8,10
/i/iceberg/00002347.jpg,299,259,7,10
/i/iceberg/00002361.jpg,270,216,185,239
/i/iceberg/00002426.jpg,680,169,35,32
/i/iceberg/00002451.jpg,508,264,16,24
/i/iceberg/00002460.jpg,231,443,29,42
/i/iceberg/00002477.jpg,130,68,38,48
/i/iceberg/00002492.jpg,198,105,61,75
/i/iceberg/00002503.jpg,197,141,121,147
/i/iceberg/00002523.jpg,92,350,5,6
/i/iceberg/00002545.jpg,141,271,16,19
/i/iceberg/00002571.jpg,358,127,132,175
/i/iceberg/00002595.jpg,245,144,38,45
/i/iceberg/00002604.jpg,537,174,93,113
/i/iceberg/00002608.jpg,221,224,22,28
/i/iceberg/00002622.jpg,441,434,8,12
/i/iceberg/00002629.jpg,150,104,100,127
