image,x,y,w,h
/t/television_room/00000001.jpg,720,65,52,77
/t/television_room/00000003.jpg,103,187,18,25
/t/television_room/00000011.jpg,334,126,26,37
/t/television_room/00000034.jpg,348,141,61,81
/t/television_room/00000050.jpg,199,186,15,19
/t/television_room/00000058.jpg,475,273,8,11
/t/television_room/00000063.jpg,104,245,27,47
/t/television_room/00000069.jpg,241,146,81,116
/t/television_room/00000082.jpg,140,157,19,24
/t/television_room/00000085.jpg,596,191,18,23
/t/television_room/00000086.jpg,120,47,16,18
/t/television_room/00000114.jpg,361,195,156,203
/t/television_room/00000119.jpg,412,78,6,8
/t/television_room/00000123.jpg,529,243,30,40
/t/television_room/00000132.jpg,362,151,14,21
/t/television_room/00000133.jpg,85,270,30,50
/t/television_room/00000135.jpg,598,105,13,19
/t/television_room/00000150.jpg,581,222,18,21
/t/television_room/00000154.jpg,153,156,20,23
/t/television_room/00000159.jpg,610,261,21,27
/t/television_room/00000166.jpg,183,150,15,19
/t/television_room/00000186.jpg,533,253,28,40
/t/television_room/00000187.jpg,162,209,12,16
/t/television_room/00000193.jpg,444,237,26,34
/t/television_room/00000205.jpg,280,111,29,33
/t/television_room/00000210.jpg,361,171,15,17
/t/television_room/00000227.jpg,472,168,76,103
/t/television_room/00000237.jpg,464,88,23,32
/t/television_room/00000266.jpg,565,127,14,19
/t/television_room/00000268.jpg,294,75,36,49
/t/television_room/00000272.jpg,313,195,49,68
/t/television_room/00000273.jpg,58,251,15,18
/t/television_room/00000292.jpg,187,293,48,75
/t/television_room/00000304.jpg,416,59,36,47
/t/television_room/00000308.jpg,156,188,24,29
/t/television_room/00000334.jpg,328,80,15,17
/t/television_room/00000348.jpg,580,169,6,7
/t/television_room/00000353.jpg,565,290,11,14
/t/television_room/00000355.jpg,371,48,46,50
/t/television_room/00000360.jpg,254,185,17,20
/t/television_room/00000365.jpg,620,227,10,12
/t/television_room/00000389.jpg,504,276,48,51
/t/television_room/00000393.jpg,507,31,41,56
/t/television_room/00000398.jpg,584,141,23,32
/t/television_room/00000402.jpg,758,235,8,13
/t/television_room/00000407.jpg,396,29,53,98
/t/television_room/00000417.jpg,81,120,4,5
/t/television_room/00000425.jpg,206,169,16,29
/t/television_room/00000433.jpg,243,293,12,16
/t/television_room/00000442.jpg,104,296,36,52
