image,x,y,w,h
/u/underwater/ocean_deep/00000002.jpg,90,241,79,95
/u/underwater/ocean_deep/00000048.jpg,94,42,220,332
/u/underwater/ocean_deep/00000050.jpg,333,0,256,252
/u/underwater/ocean_deep/00000057.jpg,255,413,13,15
/u/underwater/ocean_deep/00000059.jpg,316,707,20,22
/u/underwater/ocean_deep/00000067.jpg,359,155,22,28
/u/underwater/ocean_deep/00000084.jpg,287,99,51,61
/u/underwater/ocean_deep/00000097.jpg,231,220,31,37
/u/underwater/ocean_deep/00000100.jpg,228,110,154,200
/u/underwater/ocean_deep/00000125.jpg,173,262,11,13
/u/underwater/ocean_deep/00000144.jpg,369,163,121,155
/u/underwater/ocean_deep/00000146.jpg,152,124,57,72
/u/underwater/ocean_deep/00000147.jpg,616,231,128,172
/u/underwater/ocean_deep/00000150.jpg,326,27,23,30
/u/underwater/ocean_deep/00000153.jpg,299,154,38,49
/u/underwater/ocean_deep/00000154.jpg,468,225,7,8
/u/underwater/ocean_deep/00000167.jpg,350,96,27,37
/u/underwater/ocean_deep/00000175.jpg,236,281,36,43
/u/underwater/ocean_deep/00000186.jpg,395,185,65,80
/u/underwater/ocean_deep/00000194.jpg,246,135,75,93
/u/underwater/ocean_deep/00000229.jpg,292,144,144,183
/u/underwater/ocean_deep/00000234.jpg,44,76,456,434
/u/underwater/ocean_deep/00000247.jpg,423,166,42,33
/u/underwater/ocean_deep/00000249.jpg,378,376,79,87
/u/underwater/ocean_deep/00000324.jpg,416,126,24,43
/u/underwater/ocean_deep/00000333.jpg,228,229,19,27
/u/underwater/ocean_deep/00000342.jpg,398,194,63,78
/u/underwater/ocean_deep/00000357.jpg,331,28,143,189
/u/underwater/ocean_deep/00000363.jpg,274,116,234,182
/u/underwater/ocean_deep/00000364.jpg,395,136,49,56
/u/underwater/ocean_deep/00000368.jpg,351,131,274,283
/u/underwater/ocean_deep/00000371.jpg,201,7,135,133
/u/underwater/ocean_deep/00000380.jpg,233,232,65,78
/u/underwater/ocean_deep/00000384.jpg,126,151,253,344
/u/underwater/ocean_deep/00000393.jpg,172,273,36,46
/u/underwater/ocean_deep/00000396.jpg,301,175,101,134
/u/underwater/ocean_deep/00000419.jpg,285,404,15,19
/u/underwater/ocean_deep/00000425.jpg,524,262,14,16
/u/underwater/ocean_deep/00000426.jpg,23,568,17,24
/u/underwater/ocean_deep/00000465.jpg,392,173,83,64
/u/underwater/ocean_deep/00000495.jpg,491,129,51,65
/u/underwater/ocean_deep/00000502.jpg,368,193,151,127
/u/underwater/ocean_deep/00000506.jpg,319,141,74,84
/u/underwater/ocean_deep/00000537.jpg,648,394,26,30
/u/underwater/ocean_deep/00000543.jpg,377,246,219,265
/u/underwater/ocean_deep/00000558.jpg,315,207,136,203
/u/underwater/ocean_deep/00000582.jpg,361,364,6,8
/u/underwater/ocean_deep/00000584.jpg,286,249,11,13
/u/underwater/ocean_deep/00000587.jpg,233,227,111,136
/u/underwater/ocean_deep/00000588.jpg,212,86,48,61
/u/underwater/ocean_deep/00000613.jpg,518,303,45,34
/u/underwater/ocean_deep/00000616.jpg,299,111,15,19
/u/underwater/ocean_deep/00000626.jpg,233,160,51,66
/u/underwater/ocean_deep/00000627.jpg,321,226,124,145
/u/underwater/ocean_deep/00000641.jpg,362,205,108,136
/u/underwater/ocean_deep/00000682.jpg,229,320,68,77
/u/underwater/ocean_deep/00000683.jpg,427,81,28,37
