image,x,y,w,h
/r/racecourse/00000001.jpg,725,192,9,9
/r/racecourse/00000002.jpg,218,140,140,171
/r/racecourse/00000003.jpg,87,105,26,29
/r/racecourse/00000004.jpg,266,214,33,48
/r/racecourse/00000005.jpg,516,53,24,29
/r/racecourse/00000006.jpg,344,103,28,42
/r/racecourse/00000007.jpg,147,153,18,22
/r/racecourse/00000008.jpg,482,182,20,23
/r/racecourse/00000010.jpg,335,51,22,25
/r/racecourse/00000011.jpg,171,245,150,192
/r/racecourse/00000012.jpg,100,103,25,26
/r/racecourse/00000013.jpg,336,163,160,201
/r/racecourse/00000014.jpg,330,154,171,197
/r/racecourse/00000015.jpg,237,190,95,124
/r/racecourse/00000016.jpg,179,127,73,118
/r/racecourse/00000018.jpg,328,98,28,32
/r/racecourse/00000020.jpg,446,244,78,98
/r/racecourse/00000021.jpg,340,29,29,30
/r/racecourse/00000024.jpg,225,128,29,35
/r/racecourse/00000025.jpg,214,191,47,78
/r/racecourse/00000026.jpg,423,56,30,36
/r/racecourse/00000027.jpg,384,80,27,28
/r/racecourse/00000028.jpg,349,183,13,19
/r/racecourse/00000029.jpg,2,313,14,17
/r/racecourse/00000030.jpg,608,18,58,72
/r/racecourse/00000031.jpg,262,97,51,67
/r/racecourse/00000032.jpg,147,239,82,136
/r/racecourse/00000034.jpg,534,382,91,112
/r/racecourse/00000035.jpg,275,163,119,174
/r/racecourse/00000036.jpg,0,172,73,150
/r/racecourse/00000037.jpg,91,274,238,362
/r/racecourse/00000038.jpg,184,81,30,35
/r/racecourse/00000039.jpg,528,178,12,15
/r/racecourse/00000041.jpg,585,379,11,14
/r/racecourse/00000042.jpg,415,71,24,35
/r/racecourse/00000043.jpg,313,35,22,28
/r/racecourse/00000044.jpg,174,79,33,41
/r/racecourse/00000046.jpg,354,272,16,25
/r/racecourse/00000047.jpg,156,112,56,68
/r/racecourse/00000048.jpg,195,121,39,46
/r/racecourse/00000049.jpg,135,0,63,59
/r/racecourse/00000050.jpg,364,44,27,32
/r/racecourse/00000052.jpg,298,190,34,42
/r/racecourse/00000053.jpg,318,39,26,30
/r/racecourse/00000054.jpg,544,271,15,18
/r/racecourse/00000055.jpg,136,9,62,89
/r/racecourse/00000057.jpg,303,106,33,34
/r/racecourse/00000060.jpg,226,58,20,27
/r/racecourse/00000061.jpg,200,394,74,114
/r/racecourse/00000063.jpg,250,150,30,35
/r/racecourse/00000064.jpg,281,175,35,36
/r/racecourse/00000065.jpg,302,102,20,28
/r/racecourse/00000066.jpg,429,165,21,26
/r/racecourse/00000067.jpg,555,342,40,66
/r/racecourse/00000068.jpg,910,43,35,46
/r/racecourse/00000069.jpg,428,32,33,47
/r/racecourse/00000070.jpg,597,146,16,19
/r/racecourse/00000071.jpg,115,427,146,215
/r/racecourse/00000073.jpg,416,250,10,13
/r/racecourse/00000074.jpg,323,42,28,38
/r/racecourse/00000075.jpg,258,238,94,114
/r/racecourse/00000076.jpg,246,347,10,11
/r/racecourse/00000077.jpg,461,144,19,26
/r/racecourse/00000079.jpg,502,237,21,24
/r/racecourse/00000080.jpg,302,85,18,26
/r/racecourse/00000081.jpg,399,216,12,14
/r/racecourse/00000082.jpg,109,305,197,284
/r/racecourse/00000084.jpg,522,146,26,35
/r/racecourse/00000085.jpg,569,381,23,30
/r/racecourse/00000086.jpg,201,119,54,66
/r/racecourse/00000087.jpg,468,113,32,42
/r/racecourse/00000088.jpg,232,40,25,34
/r/racecourse/00000089.jpg,380,242,34,45
/r/racecourse/00000091.jpg,215,118,36,39
/r/racecourse/00000094.jpg,270,64,26,31
/r/racecourse/00000095.jpg,427,87,29,33
/r/racecourse/00000096.jpg,426,476,28,35
/r/racecourse/00000097.jpg,438,133,22,26
/r/racecourse/00000098.jpg,527,169,19,20
/r/racecourse/00000099.jpg,169,262,29,30
/r/racecourse/00000100.jpg,489,132,28,33
/r/racecourse/00000101.jpg,344,347,16,20
/r/racecourse/00000102.jpg,325,68,38,53
/r/racecourse/00000103.jpg,704,129,24,35
